video_name,fps,raw_size_mb,actual_size_mb
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
marathon,30.126085738302045,27.4392671585083,6.361482620239258
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
marathon,30.126085738302045,27.4392671585083,6.361482620239258
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
marathon,30.126085738302045,27.4392671585083,6.361482620239258
marathon,30.126085738302045,27.4392671585083,6.361482620239258
marathon,30.126085738302045,27.4392671585083,6.361482620239258
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
marathon,30.126085738302045,27.4392671585083,6.361482620239258
porsche,50,89.32541370391846,12.251976013183594
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
marathon,30.126085738302045,27.4392671585083,6.361482620239258
frieren,30.00425601571452,70.28111839294434,14.308161735534668
marathon,30.126085738302045,27.4392671585083,6.361482620239258
porsche,50,89.32541370391846,12.251976013183594
porsche,50,89.32541370391846,12.251976013183594
porsche,50,89.32541370391846,12.251976013183594
marathon,30.126085738302045,27.4392671585083,6.361482620239258
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
test_clip,50,89.32541370391846,12.251976013183594
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
marathon,30.126085738302045,27.4392671585083,6.361482620239258
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
marathon,30.126085738302045,27.4392671585083,6.361482620239258
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
frieren,30.00425601571452,70.28111839294434,14.308161735534668
porsche,50,89.32541370391846,12.251976013183594
marathon,30.126085738302045,27.4392671585083,6.361482620239258
marathon,30.126085738302045,27.4392671585083,6.361482620239258
frieren,30.00425601571452,70.28111839294434,14.308161735534668
